cnt_crime,cnt_cctv,dense_population,cnt_light,cnt_police,female_population,cnt_notify,cnt_population,region,year,id
6198,602,13365,8432,24,240680,122966,527939,gangnam,2022,0
3170,495,18563,8603,19,210837,74051,456495,gangdong,2022,1
2269,842,12733,8032,13,142866,77153,300529,gangbuk,2022,2
3812,420,14074,6484,16,278509,81228,583349,gangseo,2022,3
4410,280,16901,4802,13,248140,88507,499749,gwanak,2022,4
2564,683,20708,8461,20,173901,62593,353339,gwangjin,2022,5
3433,553,20878,6828,17,203037,75302,420076,guro,2022,6
2263,306,18802,5833,26,119173,48762,244820,geumcheon,2022,7
3205,220,14253,4311,14,237449,65141,505141,nowon,2022,8
1811,442,15339,4654,9,147435,62942,316533,dobong,2022,9
2696,164,24634,9736,15,171740,67826,350212,dongdaemun,2022,10
2664,253,24200,6094,22,191531,53968,395798,dongjak,2022,11
3214,263,15756,6333,11,183666,75008,375848,mapo,2022,12
1953,297,18055,8894,15,160811,52181,318404,seodaemun,2022,13
4051,427,8837,8966,15,188660,95156,415161,seocho,2022,14
1896,433,17703,10500,12,143378,59151,298476,seongdong,2022,15
2012,490,17777,8296,17,212762,48993,436882,seongbuk,2022,16
4663,479,19891,5394,13,312094,85017,673817,songpa,2022,17
2640,438,25509,9822,15,201443,57888,444020,yangcheon,2022,18
4255,699,16224,6380,18,193267,86377,398414,yeongdeungpo,2022,19
2384,394,10960,5799,19,110571,57232,239659,yongsan,2022,20
2929,612,15945,13215,21,222738,78569,473783,eunpyeong,2022,21
2523,57,6507,14851,22,73995,77872,155620,jongno,2022,22
2838,382,13433,15377,21,64562,84680,133799,jung,2022,23
3059,921,21051,8203,16,183002,75664,389357,jungnang,2022,24
