지역,5대범죄 건수 평균,인구밀도 평균,112신고 건수 평균,여성 가구원수 평균,cctv수 평균,가로등수 평균,경찰서 및 파출소 수,지역별인구수
강남구,7543.571428571428,14084.57142857143,170421.42857142858,261914.57142857142,869.8571428571429,8887.42857142857,24.714285714285715,556352.7142857143
강동구,4163.714285714285,18328.714285714286,89579.71428571429,212260.0,319.7142857142857,8634.42857142857,20.142857142857142,450704.4285714286
강북구,3460.714285714286,13607.42857142857,74903.42857142857,154574.0,428.42857142857144,7433.571428571428,13.0,321124.85714285716
강서구,4862.0,14388.142857142857,114848.0,287358.85714285716,323.14285714285717,5860.714285714285,16.0,596229.0
관악구,5372.428571428572,17499.85714285714,112705.0,253621.85714285713,536.4285714285714,4857.142857142857,12.285714285714286,517456.14285714284
광진구,4355.857142857143,21519.571428571428,86648.57142857143,181476.85714285713,404.57142857142856,8152.285714285715,21.571428571428573,367193.28571428574
구로구,4726.428571428572,21849.714285714286,86006.57142857143,212753.42857142858,429.14285714285717,5947.142857142857,18.428571428571427,439610.14285714284
금천구,3160.8571428571427,19342.571428571428,63704.28571428572,120722.14285714286,308.14285714285717,5478.0,26.0,251839.85714285713
노원구,4172.857142857143,15459.42857142857,89983.42857142857,265683.71428571426,309.14285714285717,4388.285714285715,15.428571428571429,547849.8571428572
도봉구,2214.1428571428573,16407.0,54898.857142857145,162298.7142857143,233.28571428571428,4499.0,10.428571428571429,339108.71428571426
동작구,3280.285714285714,24884.285714285714,69205.42857142857,199861.57142857142,244.71428571428572,6441.285714285715,22.0,406963.85714285716
마포구,4892.428571428572,16220.285714285714,107486.28571428571,190437.2857142857,328.85714285714283,5910.142857142857,11.857142857142858,386835.5714285714
서대문구,3051.8571428571427,18313.285714285714,64242.42857142857,162843.14285714287,258.42857142857144,8084.571428571428,17.285714285714285,322695.14285714284
서초구,4809.428571428572,9324.0,98123.57142857143,205641.2857142857,550.2857142857143,7816.571428571428,17.142857142857142,438085.4285714286
성동구,2656.285714285714,18163.0,57321.42857142857,147371.14285714287,458.14285714285717,7849.571428571428,13.285714285714286,306222.28571428574
성북구,3175.5714285714284,18462.85714285714,75245.14285714286,223697.42857142858,577.7142857142857,7669.285714285715,18.142857142857142,453744.71428571426
송파구,5724.714285714285,19811.428571428572,127502.57142857143,317456.4285714286,374.7142857142857,5243.0,13.0,671105.4285714285
양천구,3640.285714285714,26957.714285714286,74413.28571428571,219399.57142857142,444.7142857142857,9287.285714285714,16.142857142857142,469224.4285714286
영등포구,5744.857142857143,16527.714285714286,113342.14285714286,195884.14285714287,426.7142857142857,5542.857142857143,17.714285714285715,405639.28571428574
용산구,3441.5714285714284,11169.57142857143,73440.85714285714,113818.57142857143,306.7142857142857,5190.142857142857,20.285714285714285,244237.14285714287
은평구,3890.4285714285716,16460.85714285714,86552.28571428571,233652.42857142858,534.0,12161.285714285714,20.857142857142858,489020.71428571426
종로구,3795.8571428571427,6736.714285714285,74265.71428571429,77940.71428571429,100.71428571428571,13837.285714285714,24.285714285714285,161097.2857142857
중구,4050.1428571428573,13509.142857142857,128958.71428571429,65017.0,307.57142857142856,13093.42857142857,21.714285714285715,134553.42857142858
중랑구,4328.142857142857,22002.714285714286,87161.0,193835.57142857142,435.0,7724.428571428572,17.428571428571427,406956.4285714286
