자치구,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
종로구,"5,933","8,975","8,975","8,988","8,988","8,988","8,986","9,220","9,265","8,818","7,947"
중구,"6,868","9,380","9,281","9,200","8,651","8,621","8,641","8,694","8,665","8,550","8,619"
용산구,"6,658","6,861","6,816","6,886","6,977","7,206","7,291","7,248","7,637","7,838","7,838"
성동구,"5,193","5,884","5,389","5,532","5,299","5,712","5,662","5,780","6,050","6,266","6,256"
광진구,"4,947","4,957","4,927","4,982","4,981","4,925","4,852","4,774","4,616","4,908","4,944"
동대문구,"7,151","7,289","7,377","7,738","7,890","8,019","8,096","8,149","8,211","8,342","8,359"
중랑구,"5,130","5,310","5,297","5,598","5,392","5,682","5,698","5,729","5,731","6,521","6,877"
성북구,"4,967","5,283","5,281","5,306","5,301","5,288","5,373","5,301","5,584","5,744","5,755"
강북구,"4,330","4,303","4,336","4,352","4,360","4,440","4,445","4,525","4,339","4,301","4,308"
도봉구,"4,629","4,420","4,797","4,388","4,400","4,405","4,464","4,471","4,556","4,584","4,613"
노원구,"8,648","8,934","8,944","8,966","8,745","9,267","9,308","9,270","9,510","9,443","9,573"
은평구,"7,388","8,162","8,125","8,008","6,835","6,455","6,554","6,428","6,369","6,173","6,275"
서대문구,"5,002","5,563","5,641","5,705","5,467","5,667","5,848","6,075","6,075","6,245","5,994"
마포구,"6,694","7,322","7,312","7,475","7,428","7,645","7,941","8,177","8,313","8,392","8,696"
양천구,"7,396","7,346","7,286","7,277","7,209","7,206","7,198","7,833","7,970","8,583","8,717"
강서구,"6,453","6,499","6,871","6,520","6,540","6,569","6,691","6,682","8,919","9,552","9,994"
구로구,"6,315","6,994","6,918","7,336","7,365","7,419","7,413","7,490","7,529","8,199","8,270"
금천구,"3,808","4,598","4,668","4,669","4,736","5,354","5,369","5,294","5,496","5,507","4,945"
영등포구,"8,620","8,781","8,810","9,026","8,679","9,157","9,209","9,500","9,278","9,535","9,653"
동작구,"4,471","5,015","5,087","5,087","4,641","5,328","5,483","5,568","5,656","6,105","6,019"
관악구,"4,934","5,121","5,160","5,170","4,964","4,897","4,895","4,894","5,304","5,588","5,789"
서초구,"10,224","10,591","10,694","10,920","11,143","11,622","11,699","12,691","12,793","12,588","12,593"
강남구,"11,334","12,390","12,292","12,042","12,184","13,826","14,193","14,193","13,788","14,326","14,351"
송파구,"9,034","10,348","10,095","9,351","11,225","12,054","12,586","13,263","13,520","14,184","14,822"
강동구,"6,092","6,468","6,950","7,264","7,232","7,411","7,891","7,982","7,477","7,952","8,126"
