,자치구별(2),,2015,2016,2017,2018,2019,2020,2021
0,강남구,,8617,8149,7720,7513,7304,7356,6146
1,강동구,,5244,4462,4261,3919,4014,3788,3458
2,강북구,,4257,4229,3393,3437,3838,2770,2301
3,강서구,,5585,5450,5135,4629,4924,4415,3896
4,관악구,,6345,5678,5525,5026,5328,5261,4444
5,광진구,,5909,5322,4646,3915,4011,3601,3087
6,구로구,,5646,5366,4895,4810,4707,4175,3486
7,금천구,,3781,3645,3265,3293,3105,2598,2439
8,노원구,,5130,4543,4209,4007,4153,3743,3425
9,도봉구,,2664,2438,1999,2249,2110,2179,1860
10,동대문구,,4720,4787,3975,3680,3692,3401,2959
11,동작구,,4074,3227,3330,3100,3400,3200,2631
12,마포구,,5854,5873,5278,5172,4842,3688,3540
13,서대문구,,4029,3665,3113,2802,2943,2533,2278
14,서초구,,5444,4989,4708,4726,5542,4601,3656
15,성동구,,3358,3026,2767,2457,2512,2362,2112
16,성북구,,4154,3744,3434,3042,2877,2567,2411
17,송파구,,6778,6090,5576,5807,5698,5410,4714
18,양천구,,4528,4112,3882,3515,3214,3216,3015
19,영등포구,,6867,6322,5969,5840,5820,5217,4179
20,용산구,,3820,4137,4060,3411,3313,2969,2381
21,은평구,,4745,4501,3883,3590,3880,3390,3244
22,종로구,,4705,4459,4057,3690,3846,3102,2712
23,중구,,4954,4584,4184,4030,4327,3411,2861
24,중랑구,,5193,5041,4571,4288,4268,3726,3210
