지역,2015,2016,2017,2018,2019,2020,2021
강남구,25,25,25,25,25,24,24
강동구,20,21,20,20,20,20,20
강북구,13,13,13,13,13,13,13
강서구,16,16,16,16,16,16,16
관악구,11,11,12,13,13,13,13
광진구,23,22,22,21,21,21,21
구로구,19,19,19,18,18,18,18
금천구,26,26,26,26,26,26,26
노원구,16,16,16,15,15,15,15
도봉구,11,11,11,10,10,10,10
동대문구,20,20,20,19,18,17,16
동작구,22,22,22,22,22,22,22
마포구,12,12,12,13,12,11,11
서대문구,19,18,18,18,16,16,16
서초구,19,18,18,16,17,16,16
성동구,14,14,13,13,13,13,13
성북구,19,20,18,17,17,18,18
송파구,13,13,13,13,13,13,13
양천구,17,16,16,16,16,16,16
영등포구,17,17,18,18,18,18,18
용산구,21,21,21,20,20,20,19
은평구,21,20,21,21,21,21,21
종로구,25,25,26,25,23,23,23
중구,22,22,22,21,21,22,22
중랑구,18,18,18,17,17,17,17
