동별(2),2015,2016,2017,2018,2019,2020,2021
강남구,"282,162","277,824","272,427","264,231","209,768","264,813","262,177"
강동구,"223,788","216,517","214,047","209,479","165,671","226,135","230,183"
강북구,"163,606","161,805","161,234","159,110","130,161","154,756","151,346"
강서구,"292,237","294,766","298,997","297,910","243,220","293,075","291,307"
관악구,"257,655","255,824","254,365","254,616","253,139","251,791","247,963"
광진구,"187,552","186,121","186,778","186,542","158,673","184,042","180,630"
구로구,"221,847","220,938","218,441","216,679","178,837","218,587","213,945"
금천구,"122,654","121,548","122,678","122,066","111,250","122,929","121,930"
노원구,"288,868","285,362","279,844","275,359","202,930","265,665","261,758"
도봉구,"173,908","172,338","170,642","168,674","127,843","162,899","159,787"
동대문구,"183,598","181,650","180,920","181,818","157,662","179,573","178,792"
동작구,"207,292","206,222","204,983","204,267","172,323","203,161","200,783"
마포구,"198,673","195,949","193,515","193,987","162,161","194,451","194,325"
서대문구,"160,812","168,502","170,213","169,436","134,437","168,513","167,989"
서초구,"218,963","218,620","216,309","213,427","157,635","209,668","204,867"
성동구,"148,674","148,809","153,307","156,173","127,557","149,790","147,288"
성북구,"234,983","233,194","230,349","227,530","182,594","229,151","228,081"
송파구,"325,605","322,718","326,230","328,725","256,160","333,486","329,271"
양천구,"235,634","233,340","229,608","226,616","165,106","224,090","221,403"
영등포구,"202,727","198,978","196,631","197,255","169,700","202,941","202,957"
용산구,"117,302","116,473","115,427","116,253","99,777","116,720","114,778"
은평구,"245,665","243,027","240,430","239,100","186,841","241,274","239,230"
종로구,"82,011","78,778","80,607","80,820","67,650","78,229","77,490"
중구,"65,260","65,646","65,701","66,822","59,440","66,597","65,653"
중랑구,"203,301","201,442","200,546","198,069","163,422","196,126","193,943"
